"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"15-19 years"	"15-19"	2169	4613917	47.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"20-24 years"	"20-24"	5060	5041076	100.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"25-34 years"	"25-34"	11231	9700786	115.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"35-44 years"	"35-44"	15263	8670158	176.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"45-54 years"	"45-54"	39684	9542056	415.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"55-64 years"	"55-64"	75571	8184410	923.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"65-74 years"	"65-74"	96099	4874817	1971.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"75-84 years"	"75-84"	126489	2502469	5054.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"85+ years"	"85+"	134091	953409	14064.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"Not Stated"	"NS"	104	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"< 1 year"	"1"	2904	483856	600.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"1-4 years"	"1-4"	390	1975783	19.7
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"5-9 years"	"5-9"	229	2546555	9.0
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"10-14 years"	"10-14"	258	2642119	9.8
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"15-19 years"	"15-19"	741	2934950	25.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"20-24 years"	"20-24"	1508	3004197	50.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"25-34 years"	"25-34"	4390	5567216	78.9
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"35-44 years"	"35-44"	7494	5404830	138.7
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"45-54 years"	"45-54"	20427	6538347	312.4
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"55-64 years"	"55-64"	40091	6232633	643.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"65-74 years"	"65-74"	63418	4141048	1531.4
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"75-84 years"	"75-84"	112503	2685820	4188.8
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"85+ years"	"85+"	207191	1535817	13490.6
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Female"	"F"	"Not Stated"	"NS"	41	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"< 1 year"	"1"	3556	507331	700.9
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"1-4 years"	"1-4"	541	2066840	26.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"5-9 years"	"5-9"	332	2661210	12.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"10-14 years"	"10-14"	424	2766499	15.3
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"15-19 years"	"15-19"	2103	3059881	68.7
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"20-24 years"	"20-24"	4751	3108506	152.8
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"25-34 years"	"25-34"	10219	5680089	179.9
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"35-44 years"	"35-44"	12768	5349257	238.7
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"45-54 years"	"45-54"	32337	6338553	510.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"55-64 years"	"55-64"	63434	5891843	1076.6
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"65-74 years"	"65-74"	82511	3596880	2294.0
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"75-84 years"	"75-84"	111602	1913352	5832.8
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"85+ years"	"85+"	116787	733148	15929.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Male"	"M"	"Not Stated"	"NS"	59	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"< 1 year"	"1"	3195	539022	592.7
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"1-4 years"	"1-4"	428	2209087	19.4
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"5-9 years"	"5-9"	289	2869547	10.1
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"10-14 years"	"10-14"	318	2938752	10.8
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"15-19 years"	"15-19"	826	2996113	27.6
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"20-24 years"	"20-24"	1282	3074424	41.7
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"25-34 years"	"25-34"	3579	6198173	57.7
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"35-44 years"	"35-44"	6596	5913097	111.5
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"45-54 years"	"45-54"	18304	6370055	287.3
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"55-64 years"	"55-64"	35984	5721093	629.0
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"65-74 years"	"65-74"	54280	3616395	1500.9
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"75-84 years"	"75-84"	88512	2158202	4101.2
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Female"	"F"	"85+ years"	"85+"	154577	1185426	13039.8
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"< 1 year"	"1"	3926	563921	696.2
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"1-4 years"	"1-4"	590	2302154	25.6
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"5-9 years"	"5-9"	345	2985423	11.6
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"10-14 years"	"10-14"	488	3064049	15.9
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"15-19 years"	"15-19"	2382	3150356	75.6
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"20-24 years"	"20-24"	4255	3191204	133.3
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"25-34 years"	"25-34"	8878	6271968	141.6
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"35-44 years"	"35-44"	11616	5877107	197.6
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"45-54 years"	"45-54"	28492	6189356	460.3
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"55-64 years"	"55-64"	55797	5351700	1042.6
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"65-74 years"	"65-74"	68855	3107217	2216.0
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"75-84 years"	"75-84"	86927	1541364	5639.6
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"85+ years"	"85+"	86095	563872	15268.5
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"Male"	"M"	"Not Stated"	"NS"	34	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"< 1 year"	"1"	1860	285231	652.1
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"1-4 years"	"1-4"	309	1165847	26.5
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"5-9 years"	"5-9"	181	1507527	12.0
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"10-14 years"	"10-14"	186	1538304	12.1
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"15-19 years"	"15-19"	518	1574316	32.9
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"20-24 years"	"20-24"	825	1638459	50.4
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"25-34 years"	"25-34"	2517	2936418	85.7
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"35-44 years"	"35-44"	4435	2886963	153.6
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"45-54 years"	"45-54"	11666	3194525	365.2
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"55-64 years"	"55-64"	22028	2960935	744.0
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"65-74 years"	"65-74"	33300	1916154	1737.9
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"75-84 years"	"75-84"	51651	1128797	4575.8
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Female"	"F"	"85+ years"	"85+"	81659	584716	13965.6
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"< 1 year"	"1"	2407	299384	804.0
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"1-4 years"	"1-4"	354	1221240	29.0
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"5-9 years"	"5-9"	236	1577239	15.0
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"10-14 years"	"10-14"	303	1608601	18.8
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"15-19 years"	"15-19"	1316	1655172	79.5
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"20-24 years"	"20-24"	2350	1693291	138.8
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"25-34 years"	"25-34"	5493	2960851	185.5
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"35-44 years"	"35-44"	7336	2891890	253.7
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"45-54 years"	"45-54"	17824	3140477	567.6
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"55-64 years"	"55-64"	34205	2811134	1216.8
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"65-74 years"	"65-74"	42431	1678677	2527.6
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"75-84 years"	"75-84"	51132	814516	6277.6
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"Male"	"M"	"85+ years"	"85+"	45590	277517	16427.8
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"< 1 year"	"1"	2369	388067	610.5
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"1-4 years"	"1-4"	360	1591635	22.6
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"5-9 years"	"5-9"	200	2097129	9.5
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"10-14 years"	"10-14"	318	2227446	14.3
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"15-19 years"	"15-19"	701	2367953	29.6
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"20-24 years"	"20-24"	1289	2444919	52.7
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"25-34 years"	"25-34"	3405	4171689	81.6
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"35-44 years"	"35-44"	6362	4267854	149.1
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"45-54 years"	"45-54"	17393	5054561	344.1
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"55-64 years"	"55-64"	33758	4820536	700.3
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"65-74 years"	"65-74"	49152	3077897	1596.9
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"75-84 years"	"75-84"	77590	1797239	4317.2
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Female"	"F"	"85+ years"	"85+"	130595	956480	13653.7
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"< 1 year"	"1"	2997	407971	734.6
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"1-4 years"	"1-4"	465	1670136	27.8
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"5-9 years"	"5-9"	282	2193778	12.9
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"10-14 years"	"10-14"	408	2329354	17.5
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"15-19 years"	"15-19"	1793	2489879	72.0
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"20-24 years"	"20-24"	3473	2538365	136.8
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"25-34 years"	"25-34"	7457	4202004	177.5
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"35-44 years"	"35-44"	10531	4188155	251.4
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"45-54 years"	"45-54"	25891	4919571	526.3
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"55-64 years"	"55-64"	51457	4546752	1131.7
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"65-74 years"	"65-74"	63219	2747087	2301.3
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"75-84 years"	"75-84"	77386	1331856	5810.4
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Male"	"M"	"85+ years"	"85+"	76270	479542	15904.8
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"< 1 year"	"1"	3190	472842	674.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"1-4 years"	"1-4"	472	1930335	24.5
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"5-9 years"	"5-9"	249	2503936	9.9
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"10-14 years"	"10-14"	327	2595631	12.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"15-19 years"	"15-19"	779	2686884	29.0
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"20-24 years"	"20-24"	1461	2706571	54.0
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"25-34 years"	"25-34"	4434	5094215	87.0
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"35-44 years"	"35-44"	8011	5009946	159.9
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"45-54 years"	"45-54"	21318	5829055	365.7
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"55-64 years"	"55-64"	41448	5579084	742.9
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"65-74 years"	"65-74"	61646	3612261	1706.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"75-84 years"	"75-84"	100085	2210296	4528.1
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Female"	"F"	"85+ years"	"85+"	161795	1152608	14037.3
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"< 1 year"	"1"	4010	494972	810.1
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"1-4 years"	"1-4"	644	2018121	31.9
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"5-9 years"	"5-9"	333	2611430	12.8
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"10-14 years"	"10-14"	429	2714193	15.8
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"15-19 years"	"15-19"	1771	2819116	62.8
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"20-24 years"	"20-24"	3792	2774633	136.7
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"25-34 years"	"25-34"	9518	5096975	186.7
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"35-44 years"	"35-44"	13167	4938551	266.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"45-54 years"	"45-54"	32087	5644391	568.5
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"55-64 years"	"55-64"	62469	5244103	1191.2
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"65-74 years"	"65-74"	77100	3129078	2464.0
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"75-84 years"	"75-84"	96825	1585391	6107.3
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"Male"	"M"	"85+ years"	"85+"	90802	561442	16173.0
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"< 1 year"	"1"	1272	229726	553.7
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"1-4 years"	"1-4"	197	953540	20.7
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"5-9 years"	"5-9"	104	1247140	8.3
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"10-14 years"	"10-14"	130	1273084	10.2
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"15-19 years"	"15-19"	396	1328656	29.8
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"20-24 years"	"20-24"	593	1370487	43.3
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"25-34 years"	"25-34"	1598	2502355	63.9
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"35-44 years"	"35-44"	2806	2416315	116.1
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"45-54 years"	"45-54"	7884	2908203	271.1
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"55-64 years"	"55-64"	15300	2677754	571.4
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"65-74 years"	"65-74"	23751	1684718	1409.8
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"75-84 years"	"75-84"	41177	1039343	3961.8
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Female"	"F"	"85+ years"	"85+"	80176	584915	13707.3
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"< 1 year"	"1"	1547	241106	641.6
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"1-4 years"	"1-4"	232	998536	23.2
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"5-9 years"	"5-9"	163	1305246	12.5
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"10-14 years"	"10-14"	233	1330688	17.5
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"15-19 years"	"15-19"	847	1390458	60.9
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"20-24 years"	"20-24"	1653	1424064	116.1
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"25-34 years"	"25-34"	3656	2597670	140.7
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"35-44 years"	"35-44"	4727	2472110	191.2
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"45-54 years"	"45-54"	12221	2904738	420.7
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"55-64 years"	"55-64"	24553	2646932	927.6
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"65-74 years"	"65-74"	31688	1555791	2036.8
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"75-84 years"	"75-84"	43773	796541	5495.4
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"Male"	"M"	"85+ years"	"85+"	46821	290517	16116.4
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"< 1 year"	"1"	594	133769	444.0
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"1-4 years"	"1-4"	125	545105	22.9
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"5-9 years"	"5-9"	56	696732	8.0
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"10-14 years"	"10-14"	89	691085	12.9
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"15-19 years"	"15-19"	200	731834	27.3
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"20-24 years"	"20-24"	277	764765	36.2
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"25-34 years"	"25-34"	754	1331706	56.6
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"35-44 years"	"35-44"	1469	1254356	117.1
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"45-54 years"	"45-54"	4248	1449326	293.1
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"55-64 years"	"55-64"	8306	1402998	592.0
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"65-74 years"	"65-74"	13400	919007	1458.1
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"75-84 years"	"75-84"	24404	614192	3973.4
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Female"	"F"	"85+ years"	"85+"	48974	365250	13408.4
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"< 1 year"	"1"	740	139748	529.5
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"1-4 years"	"1-4"	160	570908	28.0
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"5-9 years"	"5-9"	99	729884	13.6
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"10-14 years"	"10-14"	138	725197	19.0
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"15-19 years"	"15-19"	460	771404	59.6
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"20-24 years"	"20-24"	755	815779	92.5
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"25-34 years"	"25-34"	1659	1398588	118.6
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"35-44 years"	"35-44"	2502	1287717	194.3
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"45-54 years"	"45-54"	6606	1449968	455.6
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"55-64 years"	"55-64"	13661	1387294	984.7
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"65-74 years"	"65-74"	18103	836059	2165.3
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"75-84 years"	"75-84"	25562	455668	5609.8
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"Male"	"M"	"85+ years"	"85+"	28253	176199	16034.7
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"Female"	"F"	"< 1 year"	"1"	747	134860	553.9
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"Female"	"F"	"1-4 years"	"1-4"	134	550962	24.3
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"Female"	"F"	"5-9 years"	"5-9"	119	695245	17.1
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"Female"	"F"	"10-14 years"	"10-14"	83	682140	12.2
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"Female"	"F"	"15-19 years"	"15-19"	226	682156	33.1
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"Female"	"F"	"20-24 years"	"20-24"	286	715317	40.0
